ID	Accession	Assay name	Assay title	Target	Target of assay	Target gene symbol	Biosample summary	Biosample term name	Dbxrefs	Description	Lab	Project	Status	Files	Related series	Biosample accession	Biological replicate	Technical replicate	Linked antibody	Organism	Life stage	Biosample age	Biosample treatment	Biosample treatment ontology ID	Biosample treatment amount	Biosample treatment amount units	Biosample treatment duration	Biosample treatment duration units	Synchronization	Post-synchronization time	Post-synchronization time units	Biosample modification site target organism	Biosample modification site introduced gene organism	Replicates	Mixed biosamples	Cellular component	Library construction platform	Library construction method
/experiments/ENCSR260LAN/	ENCSR260LAN	ATAC-seq	ATAC-seq				Homo sapiens naive thymus-derived CD4-positive, alpha-beta T cell male adult (48 years)	naive thymus-derived CD4-positive, alpha-beta T cell			Michael Snyder, Stanford	ENCODE	submitted	/files/ENCFF423YCF/,/files/ENCFF410DJQ/,/files/ENCFF244AVU/,/files/ENCFF067TVC/,/files/ENCFF540EHP/,/files/ENCFF901TZE/,/files/ENCFF778EUR/,/files/ENCFF510JNI/,/files/ENCFF778DJR/,/files/ENCFF086YPZ/,/files/ENCFF513JVX/,/files/ENCFF184REK/,/files/ENCFF199DOD/,/files/ENCFF708IMA/,/files/ENCFF210UPW/,/files/ENCFF784UYG/,/files/ENCFF129TRX/,/files/ENCFF596ULH/,/files/ENCFF826WGX/,/files/ENCFF444UPK/,/files/ENCFF991OGT/,/files/ENCFF032RUV/,/files/ENCFF544BBG/,/files/ENCFF400SHU/,/files/ENCFF099EYO/,/files/ENCFF171FVJ/,/files/ENCFF116JLE/,/files/ENCFF115ZDS/,/files/ENCFF705AZV/,/files/ENCFF873OEI/,/files/ENCFF172XUM/,/files/ENCFF454IBR/,/files/ENCFF023VCN/,/files/ENCFF065DGQ/		ENCBS711DUV,ENCBS119LOF	1,2	1		Homo sapiens	adult	48 years												/replicates/121c1371-ea32-4a8b-859c-b23c1933fcd1/,/replicates/447c6791-d78e-463a-902f-911800cef0fc/				
/experiments/ENCSR647OCC/	ENCSR647OCC	ATAC-seq	ATAC-seq				Homo sapiens heart left ventricle tissue male adult (46 years)	heart left ventricle		ATAC-seq on human heart left ventricle	Michael Snyder, Stanford	ENCODE	submitted	/files/ENCFF555DQD/,/files/ENCFF599MOK/,/files/ENCFF772EQL/,/files/ENCFF703FCV/,/files/ENCFF055KKZ/,/files/ENCFF792GAZ/,/files/ENCFF040XYC/,/files/ENCFF433XOF/,/files/ENCFF454GMZ/,/files/ENCFF812HEF/,/files/ENCFF238BHB/,/files/ENCFF190XLF/,/files/ENCFF376CQU/,/files/ENCFF991NZY/,/files/ENCFF012NYM/,/files/ENCFF740YEQ/,/files/ENCFF663KUS/,/files/ENCFF793TOR/,/files/ENCFF514PWB/,/files/ENCFF551WHY/,/files/ENCFF054RNF/,/files/ENCFF683RRB/,/files/ENCFF150QTZ/,/files/ENCFF301XKU/,/files/ENCFF006XXP/		ENCBS781DRQ	1	1,2		Homo sapiens	adult	46 years												/replicates/ff9d3835-8a1d-4836-9c7a-ddde8a94475b/,/replicates/6f7a1c4d-08ac-4439-8618-2123052ad0d4/				
/experiments/ENCSR548SSP/	ENCSR548SSP	ATAC-seq	ATAC-seq				Homo sapiens mucosa of urinary bladder tissue female adult (47 years)	mucosa of urinary bladder		ATAC-seq on human mucosa of urinary bladder	Michael Snyder, Stanford	ENCODE	in progress	/files/ENCFF751EVM/,/files/ENCFF302FZM/,/files/ENCFF575VCK/,/files/ENCFF034GEC/,/files/ENCFF117WEY/,/files/ENCFF445DYR/,/files/ENCFF901UKR/,/files/ENCFF120YBH/,/files/ENCFF966QKP/,/files/ENCFF511ENW/,/files/ENCFF401HMK/,/files/ENCFF964XJF/,/files/ENCFF137NGH/,/files/ENCFF660LDG/,/files/ENCFF235UCA/,/files/ENCFF576IDK/,/files/ENCFF831EQY/,/files/ENCFF514GZV/,/files/ENCFF037LDD/,/files/ENCFF143VQM/,/files/ENCFF342GNA/,/files/ENCFF050XMF/,/files/ENCFF424RMT/,/files/ENCFF547GBT/,/files/ENCFF379NJZ/		ENCBS883TKQ	1	1,2		Homo sapiens	adult	47 years												/replicates/6948bcc4-a714-4130-a9c6-7bceb77ec7c8/,/replicates/5a6d48b1-ff16-4abd-83af-e5d784ef51c0/				
/experiments/ENCSR158KCS/	ENCSR158KCS	ATAC-seq	ATAC-seq				Homo sapiens spleen tissue female adult (61 years)	spleen		ATAC-seq on human spleen	Michael Snyder, Stanford	ENCODE	submitted	/files/ENCFF555GVX/,/files/ENCFF285LXD/,/files/ENCFF516GCU/,/files/ENCFF255FSL/,/files/ENCFF911WMJ/,/files/ENCFF067CXZ/,/files/ENCFF142QTP/,/files/ENCFF703BZU/,/files/ENCFF353BSO/,/files/ENCFF501WLX/,/files/ENCFF538EFI/,/files/ENCFF040KPM/,/files/ENCFF590NLC/,/files/ENCFF497SKJ/,/files/ENCFF310FRL/,/files/ENCFF358DFQ/,/files/ENCFF779AOG/,/files/ENCFF555USJ/,/files/ENCFF096NAW/,/files/ENCFF680NJO/,/files/ENCFF601PPM/,/files/ENCFF779SKU/,/files/ENCFF333XHP/,/files/ENCFF863JPQ/,/files/ENCFF638DVO/		ENCBS327LSG	1	1,2		Homo sapiens	adult	61 years												/replicates/7c590b8f-8eaf-433d-af0d-db9c1001e52b/,/replicates/50f97b05-624a-4a10-9641-2a5bf81b5c09/				
/experiments/ENCSR979TCG/	ENCSR979TCG	ATAC-seq	ATAC-seq				Homo sapiens spleen tissue female adult (47 years)	spleen		ATAC-seq on human spleen	Michael Snyder, Stanford	ENCODE	in progress	/files/ENCFF522ESP/,/files/ENCFF572KPN/,/files/ENCFF046OHU/,/files/ENCFF190QIE/,/files/ENCFF083ZMY/,/files/ENCFF658TTY/,/files/ENCFF651OHF/,/files/ENCFF196DAG/,/files/ENCFF853KFG/,/files/ENCFF513KAU/,/files/ENCFF641FWM/,/files/ENCFF842YSX/,/files/ENCFF234TFN/,/files/ENCFF491BAR/,/files/ENCFF330GNL/,/files/ENCFF851OOA/,/files/ENCFF468VMN/,/files/ENCFF224KIP/,/files/ENCFF767REG/,/files/ENCFF503TXC/,/files/ENCFF750IMU/,/files/ENCFF621KKK/,/files/ENCFF690FXR/,/files/ENCFF640TXC/,/files/ENCFF575VHR/		ENCBS923MCY	1	1,2		Homo sapiens	adult	47 years												/replicates/82cb3574-97ff-4ea1-9ac9-6899680af318/,/replicates/e07865fc-a4f9-47c8-832c-2c191af62c23/				
/experiments/ENCSR694OWY/	ENCSR694OWY	ATAC-seq	ATAC-seq				Homo sapiens spleen tissue male adult (26 years)	spleen		ATAC-seq on human spleen	Michael Snyder, Stanford	ENCODE	in progress	/files/ENCFF629GLL/,/files/ENCFF235COX/,/files/ENCFF077XAL/,/files/ENCFF662BJJ/,/files/ENCFF756NOB/,/files/ENCFF422WOS/,/files/ENCFF109YHK/,/files/ENCFF604VGV/,/files/ENCFF647WRS/,/files/ENCFF040ZMS/,/files/ENCFF439PXT/,/files/ENCFF191VJV/,/files/ENCFF396WMV/,/files/ENCFF713WAB/,/files/ENCFF513MJY/,/files/ENCFF838REA/,/files/ENCFF927VMW/,/files/ENCFF933VBN/,/files/ENCFF112HEQ/,/files/ENCFF023CKA/,/files/ENCFF243GGQ/,/files/ENCFF169URV/,/files/ENCFF109DQE/,/files/ENCFF476LUQ/,/files/ENCFF361UER/		ENCBS936ARS	1	1,2		Homo sapiens	adult	26 years												/replicates/44f20df0-caae-4bf5-9fc8-375ce81c48db/,/replicates/5ec5a46b-5cfc-4d0e-bc4f-589e757eabb0/				
/experiments/ENCSR032MEH/	ENCSR032MEH	ATAC-seq	ATAC-seq				Homo sapiens T-cell male adult (43 years)	T-cell			Michael Snyder, Stanford	ENCODE	submitted	/files/ENCFF258NUF/,/files/ENCFF335UQW/,/files/ENCFF039CRI/,/files/ENCFF023YJC/,/files/ENCFF113DJW/,/files/ENCFF781NUE/,/files/ENCFF133PUR/,/files/ENCFF036KYH/,/files/ENCFF374FLX/,/files/ENCFF769EQG/,/files/ENCFF410WTM/,/files/ENCFF206PEF/,/files/ENCFF078MEV/,/files/ENCFF257WGO/,/files/ENCFF195XAI/,/files/ENCFF008WNF/,/files/ENCFF058ONX/,/files/ENCFF832ROO/,/files/ENCFF424ESO/,/files/ENCFF306WAP/,/files/ENCFF396KPR/,/files/ENCFF168SRM/,/files/ENCFF629BTV/,/files/ENCFF400ZNW/,/files/ENCFF221FCM/,/files/ENCFF396SSC/,/files/ENCFF210LQA/,/files/ENCFF896MCR/,/files/ENCFF114GEJ/,/files/ENCFF209GUG/,/files/ENCFF953RYC/,/files/ENCFF252GFV/,/files/ENCFF034VHI/,/files/ENCFF105ZAX/		ENCBS791KYH,ENCBS412VQV	1,2	1		Homo sapiens	adult	43 years												/replicates/3b46bfc4-c14a-4a94-83d5-2ca8d6a6eb7d/,/replicates/6a886c57-78d2-4ea6-9095-5d936786ff48/				
/experiments/ENCSR415LEB/	ENCSR415LEB	ATAC-seq	ATAC-seq				Homo sapiens jejunum tissue female adult (59 years)	jejunum		ATAC-seq on human jejunum	Michael Snyder, Stanford	ENCODE	submitted	/files/ENCFF639LTR/,/files/ENCFF196VBR/,/files/ENCFF279URG/,/files/ENCFF799CAA/,/files/ENCFF904YWO/,/files/ENCFF780FFT/,/files/ENCFF179SNQ/,/files/ENCFF913NUM/,/files/ENCFF809HKB/,/files/ENCFF855PTX/,/files/ENCFF174EBF/,/files/ENCFF032SGU/,/files/ENCFF714FSE/,/files/ENCFF341NHJ/,/files/ENCFF111HPE/,/files/ENCFF249EYD/,/files/ENCFF322QRI/,/files/ENCFF230GGI/,/files/ENCFF414KWU/,/files/ENCFF923TZC/,/files/ENCFF725YMT/,/files/ENCFF761LWJ/,/files/ENCFF239LVO/,/files/ENCFF864ALN/,/files/ENCFF646NBL/		ENCBS753MYQ	1	1,2		Homo sapiens	adult	59 years												/replicates/daed3ae7-2634-4828-b227-afc498173e48/,/replicates/69da277c-ba60-4f6e-b482-f5a4b255f258/				
/experiments/ENCSR814RGG/	ENCSR814RGG	ATAC-seq	ATAC-seq				Homo sapiens ureter tissue female adult (47 years)	ureter		ATAC-seq on human ureter	Michael Snyder, Stanford	ENCODE	submitted	/files/ENCFF898PFN/,/files/ENCFF789OZQ/,/files/ENCFF574YZK/,/files/ENCFF757RBU/,/files/ENCFF820KQV/,/files/ENCFF625ULE/,/files/ENCFF935KGF/,/files/ENCFF280BPN/,/files/ENCFF053WUD/,/files/ENCFF822HKI/,/files/ENCFF188PBY/,/files/ENCFF102KKO/,/files/ENCFF087SJV/,/files/ENCFF684WRU/,/files/ENCFF204TPY/,/files/ENCFF176QGL/,/files/ENCFF484FCJ/,/files/ENCFF977CYH/,/files/ENCFF853ZVT/,/files/ENCFF432ZIQ/,/files/ENCFF927ABY/,/files/ENCFF894PXP/,/files/ENCFF531QLD/,/files/ENCFF291ZLV/,/files/ENCFF863FLJ/		ENCBS693JBG	1	1,2		Homo sapiens	adult	47 years												/replicates/0bac464a-84c3-460a-b7cf-2b203d0f0d9f/,/replicates/62ba8d80-d2d9-44bc-acb5-25a9053ddefc/				
/experiments/ENCSR242QRV/	ENCSR242QRV	ATAC-seq	ATAC-seq				Homo sapiens upper lobe of left lung tissue female adult (61 years)	upper lobe of left lung		ATAC-seq on human upper lobe of left lung	Michael Snyder, Stanford	ENCODE	submitted	/files/ENCFF161CPE/,/files/ENCFF289QTR/,/files/ENCFF766RPD/,/files/ENCFF012MCI/,/files/ENCFF083UXN/,/files/ENCFF466TPY/,/files/ENCFF912SHT/,/files/ENCFF877ODM/,/files/ENCFF696OIV/,/files/ENCFF316RZZ/,/files/ENCFF505FML/,/files/ENCFF379NZZ/,/files/ENCFF434DNT/,/files/ENCFF291GDQ/,/files/ENCFF103YFY/,/files/ENCFF892MEQ/,/files/ENCFF676HKP/,/files/ENCFF225GIF/,/files/ENCFF312PDG/,/files/ENCFF060UZF/,/files/ENCFF169FVQ/,/files/ENCFF793EAR/,/files/ENCFF775OEK/,/files/ENCFF348XSG/,/files/ENCFF301XVZ/		ENCBS080DZD	1	1,2		Homo sapiens	adult	61 years												/replicates/f9ca33ff-ca3b-4de9-888e-35ca2a55af7b/,/replicates/38bc5a4c-23e3-48d6-99f3-1925a30d9283/				
