experiment_series	assay_type	experiment	fastqs	fastqs_run_type	assembly	preferred_default_bed_narrowPeak	preferred_default_bed_narrowPeak_download_urls	preferred_default_bed_narrowPeak_md5sums	preferred_default_bed_narrowPeak_qc_metrics	unfiltered_alignments	unfiltered_alignments_download_urls	unfiltered_alignments_md5sums	unfiltered_alignments_qc_metrics	alignments	alignments_download_urls	alignments_md5sums	alignments_qc_metrics
NNNN	DNase-seq	ENCSR000EKF	['ENCFF000STF', 'ENCFF000STI']	['single-ended', 'single-ended']	GRCh38	['ENCFF833UNB']	['https://www.encodeproject.org/files/ENCFF833UNB/@@download/ENCFF833UNB.bed.gz']	['e5b8cba744aae4f6295600234b037dc8']	[{}]	['ENCFF309JXB']	['https://www.encodeproject.org/files/ENCFF309JXB/@@download/ENCFF309JXB.bam']	['6ea24172653a993290e246dc5ddcc9ae']	[{}]	['ENCFF091KTX']	['https://www.encodeproject.org/files/ENCFF091KTX/@@download/ENCFF091KTX.bam']	['d97db23a1288cecffed6c1209a7e101c']	[{}]
NNNN	DNase-seq	ENCSR000EJQ	['ENCFF000SPN', 'ENCFF000SPP']	['single-ended', 'single-ended']	GRCh38	['ENCFF326DYD']	['https://www.encodeproject.org/files/ENCFF326DYD/@@download/ENCFF326DYD.bed.gz']	['b6fb99bee2b21d4fb1fc0eed8e4886d8']	[{}]	['ENCFF360YPK', 'ENCFF022OEC']	['https://www.encodeproject.org/files/ENCFF360YPK/@@download/ENCFF360YPK.bam', 'https://www.encodeproject.org/files/ENCFF022OEC/@@download/ENCFF022OEC.bam']	['ddf2d0ea3156d4c0cecd89e47ae4f27a', 'b0f2cab54de20316fee6c827e2edd79e']	[{}, {}]	['ENCFF933GFX', 'ENCFF916MAS']	['https://www.encodeproject.org/files/ENCFF933GFX/@@download/ENCFF933GFX.bam', 'https://www.encodeproject.org/files/ENCFF916MAS/@@download/ENCFF916MAS.bam']	['75291423ca797283f65490893fe43998', '6986643ac654d6b168334e039033cf6a']	[{}, {}]
NNNN	DNase-seq	ENCSR000EIF	['ENCFF000SEV', 'ENCFF000SEX']	['single-ended', 'single-ended']	GRCh38	['ENCFF158VBA']	['https://www.encodeproject.org/files/ENCFF158VBA/@@download/ENCFF158VBA.bed.gz']	['29151a178e3969c2ba19c20f4c97c31b']	[{}]	['ENCFF554YMY']	['https://www.encodeproject.org/files/ENCFF554YMY/@@download/ENCFF554YMY.bam']	['b8912a89d512431f8054fb091e948a7d']	[{}]	['ENCFF151OJF']	['https://www.encodeproject.org/files/ENCFF151OJF/@@download/ENCFF151OJF.bam']	['00a9796033ad1ac72314c78accc6dab7']	[{}]
NNNN	DNase-seq	ENCSR000EIS	['ENCFF000SIN', 'ENCFF000SIS']	['single-ended', 'single-ended']	GRCh38	['ENCFF292OFY']	['https://www.encodeproject.org/files/ENCFF292OFY/@@download/ENCFF292OFY.bed.gz']	['746d770d4f5a9899d86e1881051f1784']	[{}]	['ENCFF807INY']	['https://www.encodeproject.org/files/ENCFF807INY/@@download/ENCFF807INY.bam']	['949591ea5a69dfc15038a93222c9cae0']	[{}]	['ENCFF145STU']	['https://www.encodeproject.org/files/ENCFF145STU/@@download/ENCFF145STU.bam']	['54d87378fef452acf79ef05c0a711acd']	[{}]
NNNN	DNase-seq	ENCSR000EII	['ENCFF000SFP', 'ENCFF000SFS']	['single-ended', 'single-ended']	GRCh38	['ENCFF938ICV']	['https://www.encodeproject.org/files/ENCFF938ICV/@@download/ENCFF938ICV.bed.gz']	['7138763caaca99a051907c44cdf6a80c']	[{}]	['ENCFF047WQS']	['https://www.encodeproject.org/files/ENCFF047WQS/@@download/ENCFF047WQS.bam']	['596f157893bc583454d452b6b6cbf8b9']	[{}]	['ENCFF117XBT']	['https://www.encodeproject.org/files/ENCFF117XBT/@@download/ENCFF117XBT.bam']	['bab9f491a1de6bd093567b11b5772912']	[{}]
NNNN	DNase-seq	ENCSR000ELO	['ENCFF000TEC', 'ENCFF000TED']	['single-ended', 'single-ended']	GRCh38	['ENCFF336IOL']	['https://www.encodeproject.org/files/ENCFF336IOL/@@download/ENCFF336IOL.bed.gz']	['c30771453da13cf7770f5e6a5046693d']	[{}]	['ENCFF901DPU', 'ENCFF215SXQ']	['https://www.encodeproject.org/files/ENCFF901DPU/@@download/ENCFF901DPU.bam', 'https://www.encodeproject.org/files/ENCFF215SXQ/@@download/ENCFF215SXQ.bam']	['6835717128708e7badd41f68ff77e1d4', 'f2e72d3d5a2ad1cff2b1fcfae68d8353']	[{}, {}]	['ENCFF196QOR', 'ENCFF714MIK']	['https://www.encodeproject.org/files/ENCFF196QOR/@@download/ENCFF196QOR.bam', 'https://www.encodeproject.org/files/ENCFF714MIK/@@download/ENCFF714MIK.bam']	['ba3f0f5b00cef0fd316db4f272e64784', '98b5bcfa2c592974ad2cc3b0bc4c2df8']	[{}, {}]
NNNN	DNase-seq	ENCSR000ELR	['ENCFF000TEL', 'ENCFF000TEQ']	['single-ended', 'single-ended']	GRCh38	['ENCFF648ARI']	['https://www.encodeproject.org/files/ENCFF648ARI/@@download/ENCFF648ARI.bed.gz']	['fe6f25a48dceda0a759b7da19b2b5757']	[{}]	['ENCFF450TQE']	['https://www.encodeproject.org/files/ENCFF450TQE/@@download/ENCFF450TQE.bam']	['fbb63eefa2d82dc792a602f6ed47b9e0']	[{}]	['ENCFF756HYX']	['https://www.encodeproject.org/files/ENCFF756HYX/@@download/ENCFF756HYX.bam']	['cd6ecae2fda1e7ca59425764f6091dea']	[{}]
NNNN	DNase-seq	ENCSR000EJI	['ENCFF000SMS', 'ENCFF000SMU', 'ENCFF000SMZ']	['single-ended', 'single-ended', 'single-ended']	GRCh38	['ENCFF587IIJ']	['https://www.encodeproject.org/files/ENCFF587IIJ/@@download/ENCFF587IIJ.bed.gz']	['9c70e429bb289ac189270ff6f4b30aef']	[{}]	['ENCFF526HRB']	['https://www.encodeproject.org/files/ENCFF526HRB/@@download/ENCFF526HRB.bam']	['ecd884f6d7d4a62cb1006ce909b018f5']	[{}]	['ENCFF804MVE']	['https://www.encodeproject.org/files/ENCFF804MVE/@@download/ENCFF804MVE.bam']	['4c7f1bb43cd78a403c4dc8bc5e464369']	[{}]
NNNN	DNase-seq	ENCSR000ELI	['ENCFF000TCI', 'ENCFF000TCJ', 'ENCFF000TCK']	['single-ended', 'single-ended', 'single-ended']	GRCh38	['ENCFF197UWV']	['https://www.encodeproject.org/files/ENCFF197UWV/@@download/ENCFF197UWV.bed.gz']	['abc0317ceaf794f98f215f66747974b1']	[{}]	['ENCFF442TUD']	['https://www.encodeproject.org/files/ENCFF442TUD/@@download/ENCFF442TUD.bam']	['31b5a1dd77672221d8ba57343ee51291']	[{}]	['ENCFF116GUP']	['https://www.encodeproject.org/files/ENCFF116GUP/@@download/ENCFF116GUP.bam']	['41339d144e11098cc2c9942994f28f03']	[{}]
NNNN	DNase-seq	ENCSR000EIJ	['ENCFF000SFW', 'ENCFF000SFX']	['single-ended', 'single-ended']	GRCh38	['ENCFF109NJY']	['https://www.encodeproject.org/files/ENCFF109NJY/@@download/ENCFF109NJY.bed.gz']	['6bf22bdc67ffe61ed7e1fa8c77afefa8']	[{}]	['ENCFF681FFX', 'ENCFF180OCT']	['https://www.encodeproject.org/files/ENCFF681FFX/@@download/ENCFF681FFX.bam', 'https://www.encodeproject.org/files/ENCFF180OCT/@@download/ENCFF180OCT.bam']	['a4e4f70b44a3703e169dfbb7f3e68c2b', '03b2f2837e7dfdd0d8da5b424fe0c250']	[{}, {}]	['ENCFF884JDV', 'ENCFF379EFG']	['https://www.encodeproject.org/files/ENCFF884JDV/@@download/ENCFF884JDV.bam', 'https://www.encodeproject.org/files/ENCFF379EFG/@@download/ENCFF379EFG.bam']	['69c227851ca68a9768247dcb17c89f77', '8a6639ab3cd3fcea1ae604e515e88153']	[{}, {}]
