experiment_series	assay_type	experiment	fastqs	fastqs_run_type	assembly	preferred_default_bed_narrowPeak	preferred_default_bed_narrowPeak_download_urls	preferred_default_bed_narrowPeak_md5sums	preferred_default_bed_narrowPeak_qc_metrics	unfiltered_alignments	unfiltered_alignments_download_urls	unfiltered_alignments_md5sums	unfiltered_alignments_qc_metrics	alignments	alignments_download_urls	alignments_md5sums	alignments_qc_metrics
NNNN	[]	ENCSR080SNF	['ENCFF391PGR', 'ENCFF023WPJ', 'ENCFF111SVO', 'ENCFF374LMV', 'ENCFF598ZYD', 'ENCFF855HKQ']	['paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended']		[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
NNNN	ATAC-seq	ENCSR382LBS	['ENCFF171VBP', 'ENCFF219VRM', 'ENCFF577JYJ', 'ENCFF373MPT', 'ENCFF653OVY', 'ENCFF665FMR', 'ENCFF533VFC', 'ENCFF596UYO']	['paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended']	GRCh38	['ENCFF060HHC']	['https://www.encodeproject.org/files/ENCFF060HHC/@@download/ENCFF060HHC.bed.gz']	['3dd52fe23774b15d0fe60f4cf180ff55']	[{}]	['ENCFF974GZO', 'ENCFF260MAO', 'ENCFF657PLO']	['https://www.encodeproject.org/files/ENCFF974GZO/@@download/ENCFF974GZO.bam', 'https://www.encodeproject.org/files/ENCFF260MAO/@@download/ENCFF260MAO.bam', 'https://www.encodeproject.org/files/ENCFF657PLO/@@download/ENCFF657PLO.bam']	['95de907344c8f3a0b9612d534b55dc6c', '698cb884eaa804b8c3d66ab9a50398c4', 'ff180ff6672e7a55282019be78177da1']	[{}, {}, {}]	['ENCFF818BRH', 'ENCFF830HOU', 'ENCFF531SQN']	['https://www.encodeproject.org/files/ENCFF818BRH/@@download/ENCFF818BRH.bam', 'https://www.encodeproject.org/files/ENCFF830HOU/@@download/ENCFF830HOU.bam', 'https://www.encodeproject.org/files/ENCFF531SQN/@@download/ENCFF531SQN.bam']	['0bc863f06c325875b14517c1cc65e7c8', '3883c89bf3eaecade35793f9eec8e5bb', '90d3b83c0cb98abcde3996584246ef0d']	[{}, {}, {}]
NNNN	ATAC-seq	ENCSR373GMM	['ENCFF167XAL', 'ENCFF308YGD']	['paired-ended', 'paired-ended']	GRCh38	['ENCFF751CLW']	['https://www.encodeproject.org/files/ENCFF751CLW/@@download/ENCFF751CLW.bed.gz']	['a6fcb382ee8c1a49e8b92e6a3260d57d']	[{}]	['ENCFF484GQB']	['https://www.encodeproject.org/files/ENCFF484GQB/@@download/ENCFF484GQB.bam']	['9d3de2d80edea97dea64cf865b51ac09']	[{}]	['ENCFF667KDJ']	['https://www.encodeproject.org/files/ENCFF667KDJ/@@download/ENCFF667KDJ.bam']	['6ab982ec3105ec6d9e5d4766513a42a0']	[{}]
NNNN	ATAC-seq	ENCSR275LCF	['ENCFF548FTU', 'ENCFF873IYX']	['paired-ended', 'paired-ended']	GRCh38	['ENCFF890KJS']	['https://www.encodeproject.org/files/ENCFF890KJS/@@download/ENCFF890KJS.bed.gz']	['2fb95557a559e49b92a55b7174ebff7e']	[{}]	['ENCFF549JNN']	['https://www.encodeproject.org/files/ENCFF549JNN/@@download/ENCFF549JNN.bam']	['43517e88ed113ae8207d550b917b549a']	[{}]	['ENCFF621AYF']	['https://www.encodeproject.org/files/ENCFF621AYF/@@download/ENCFF621AYF.bam']	['38e18e350e19fcdb282a7cf59354b1e3']	[{}]
NNNN	ATAC-seq	ENCSR476VJY	['ENCFF979QEG', 'ENCFF193IPB']	['paired-ended', 'paired-ended']	GRCh38	['ENCFF035XXI']	['https://www.encodeproject.org/files/ENCFF035XXI/@@download/ENCFF035XXI.bed.gz']	['4cb11015b2743b579f0cc33e2d76bf8e']	[{}]	['ENCFF164LVY']	['https://www.encodeproject.org/files/ENCFF164LVY/@@download/ENCFF164LVY.bam']	['69cd44200800ef6e8708b397ffc9b327']	[{}]	['ENCFF895JAV']	['https://www.encodeproject.org/files/ENCFF895JAV/@@download/ENCFF895JAV.bam']	['758e2b31312c907e4c69f3b26bfd2772']	[{}]
NNNN	ATAC-seq	ENCSR025MEO	['ENCFF950ZMB', 'ENCFF971HHS']	['paired-ended', 'paired-ended']	GRCh38	['ENCFF429JRQ']	['https://www.encodeproject.org/files/ENCFF429JRQ/@@download/ENCFF429JRQ.bed.gz']	['016b55eeedcb018e18ec3bfffc0b97d8']	[{}]	['ENCFF808UWO']	['https://www.encodeproject.org/files/ENCFF808UWO/@@download/ENCFF808UWO.bam']	['e190eee02cd8638c619d19ef52a817f4']	[{}]	['ENCFF132WNX']	['https://www.encodeproject.org/files/ENCFF132WNX/@@download/ENCFF132WNX.bam']	['28512c5e00ee6f0de9bb0fb223bfa56b']	[{}]
NNNN	ATAC-seq	ENCSR400ISH	['ENCFF586NAW', 'ENCFF345HTJ']	['paired-ended', 'paired-ended']	GRCh38	['ENCFF781HFK']	['https://www.encodeproject.org/files/ENCFF781HFK/@@download/ENCFF781HFK.bed.gz']	['19f19c48dbfa3bbfe257702a82ab78a9']	[{}]	['ENCFF843XHD']	['https://www.encodeproject.org/files/ENCFF843XHD/@@download/ENCFF843XHD.bam']	['b53335894f4eef31573d8d2ecfd4a18c']	[{}]	['ENCFF030ITR']	['https://www.encodeproject.org/files/ENCFF030ITR/@@download/ENCFF030ITR.bam']	['d709c0152e841bea79d68951b47df427']	[{}]
NNNN	ATAC-seq	ENCSR762YFD	['ENCFF995IXZ', 'ENCFF733AST']	['paired-ended', 'paired-ended']	GRCh38	['ENCFF690BFN']	['https://www.encodeproject.org/files/ENCFF690BFN/@@download/ENCFF690BFN.bed.gz']	['c9e37912d422bdd7f8da6c7289f889e9']	[{}]	['ENCFF188NAB']	['https://www.encodeproject.org/files/ENCFF188NAB/@@download/ENCFF188NAB.bam']	['aa3106ee8f016aa76563c95ce40ddea4']	[{}]	['ENCFF988EGP']	['https://www.encodeproject.org/files/ENCFF988EGP/@@download/ENCFF988EGP.bam']	['58978b027f5c6179f0dacca0412803a3']	[{}]
NNNN	ATAC-seq	ENCSR163KRG	['ENCFF731WYO', 'ENCFF771GHV']	['paired-ended', 'paired-ended']	GRCh38	['ENCFF187ZKG']	['https://www.encodeproject.org/files/ENCFF187ZKG/@@download/ENCFF187ZKG.bed.gz']	['7b91995f196b3e40880860915c318cfb']	[{}]	['ENCFF820CSG']	['https://www.encodeproject.org/files/ENCFF820CSG/@@download/ENCFF820CSG.bam']	['d9a27732cd06144e468a4663594a3712']	[{}]	['ENCFF430HQS']	['https://www.encodeproject.org/files/ENCFF430HQS/@@download/ENCFF430HQS.bam']	['fc57381d00f1032666f6f1bf7a5863c7']	[{}]
NNNN	ATAC-seq	ENCSR857MCZ	['ENCFF977CLJ', 'ENCFF953PUJ']	['paired-ended', 'paired-ended']	GRCh38	['ENCFF901SKJ']	['https://www.encodeproject.org/files/ENCFF901SKJ/@@download/ENCFF901SKJ.bed.gz']	['df42dbbf65d234e7e88f5723ecf49fd9']	[{}]	['ENCFF591MDP']	['https://www.encodeproject.org/files/ENCFF591MDP/@@download/ENCFF591MDP.bam']	['9456d8872819ce00cab63078068166b2']	[{}]	['ENCFF320DVY']	['https://www.encodeproject.org/files/ENCFF320DVY/@@download/ENCFF320DVY.bam']	['568d0f46cebc18002763434f95dc9969']	[{}]
