experiment_series	assay_type	experiment	fastqs	fastqs_run_type	assembly	preferred_default_bed_narrowPeak	preferred_default_bed_narrowPeak_download_urls	preferred_default_bed_narrowPeak_md5sums	preferred_default_bed_narrowPeak_qc_metrics	unfiltered_alignments	unfiltered_alignments_download_urls	unfiltered_alignments_md5sums	unfiltered_alignments_qc_metrics	alignments	alignments_download_urls	alignments_md5sums	alignments_qc_metrics
NNNN	ATAC-seq	ENCSR165FYY	['ENCFF907VLS', 'ENCFF605TFY', 'ENCFF867GPL', 'ENCFF684WSO']	['paired-ended', 'paired-ended', 'paired-ended', 'paired-ended']	GRCh38	['ENCFF662SIF']	['https://www.encodeproject.org/files/ENCFF662SIF/@@download/ENCFF662SIF.bed.gz']	['ae65f4555dfc9ed09c5e5ce6fd745e75']	[{}]	['ENCFF893KEE', 'ENCFF977DML']	['https://www.encodeproject.org/files/ENCFF893KEE/@@download/ENCFF893KEE.bam', 'https://www.encodeproject.org/files/ENCFF977DML/@@download/ENCFF977DML.bam']	['dbb1f5d3f0a18a053103697cc27975e6', '7bdf189951639f15f9ff3ec978da9533']	[{}, {}]	['ENCFF613OUT', 'ENCFF485AVO']	['https://www.encodeproject.org/files/ENCFF613OUT/@@download/ENCFF613OUT.bam', 'https://www.encodeproject.org/files/ENCFF485AVO/@@download/ENCFF485AVO.bam']	['406aa7e6549c62898bb553c9298b2cb1', '521a63d83a6ecc8c585b42cdbb0ae88a']	[{}, {}]
NNNN	ATAC-seq	ENCSR260LAN	['ENCFF423YCF', 'ENCFF410DJQ', 'ENCFF244AVU', 'ENCFF067TVC']	['paired-ended', 'paired-ended', 'paired-ended', 'paired-ended']	GRCh38	['ENCFF705AZV']	['https://www.encodeproject.org/files/ENCFF705AZV/@@download/ENCFF705AZV.bed.gz']	['0267d9f7b11921c566553a9c71caee82']	[{}]	['ENCFF778EUR', 'ENCFF444UPK']	['https://www.encodeproject.org/files/ENCFF778EUR/@@download/ENCFF778EUR.bam', 'https://www.encodeproject.org/files/ENCFF444UPK/@@download/ENCFF444UPK.bam']	['d68b1fb91843564a888cddbe9c182bdd', 'ba540c65b64c67223590491197001f0a']	[{}, {}]	['ENCFF184REK', 'ENCFF991OGT']	['https://www.encodeproject.org/files/ENCFF184REK/@@download/ENCFF184REK.bam', 'https://www.encodeproject.org/files/ENCFF991OGT/@@download/ENCFF991OGT.bam']	['8acf363be91b8ac5052843e8ef333068', 'd39b5c67697c7a94fa7cfa88702a8044']	[{}, {}]
NNNN	ATAC-seq	ENCSR956DNB	['ENCFF991KGU', 'ENCFF819NFW', 'ENCFF803YGT', 'ENCFF272LNY', 'ENCFF919BOD', 'ENCFF370VYU']	['paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended']	GRCh38	['ENCFF842UZU']	['https://www.encodeproject.org/files/ENCFF842UZU/@@download/ENCFF842UZU.bed.gz']	['c1738f40f77a19d1773771b87826dbb8']	[{}]	['ENCFF879XNY', 'ENCFF203LSX']	['https://www.encodeproject.org/files/ENCFF879XNY/@@download/ENCFF879XNY.bam', 'https://www.encodeproject.org/files/ENCFF203LSX/@@download/ENCFF203LSX.bam']	['39028a2bd815e28df5aaeed7f43bc5a7', 'e06083b6adcca1225f23cab015d119d0']	[{}, {}]	['ENCFF445RUW', 'ENCFF778GYX']	['https://www.encodeproject.org/files/ENCFF445RUW/@@download/ENCFF445RUW.bam', 'https://www.encodeproject.org/files/ENCFF778GYX/@@download/ENCFF778GYX.bam']	['ff1bdd6eb083a9a3466f4ecef016d0d8', '65e641e260e6158c3441865565b611a2']	[{}, {}]
NNNN	ATAC-seq	ENCSR859USB	['ENCFF054CTD', 'ENCFF072BUI', 'ENCFF010FXP', 'ENCFF496ZCE', 'ENCFF120QGL', 'ENCFF018ZYK']	['paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended']	GRCh38	['ENCFF055NNT']	['https://www.encodeproject.org/files/ENCFF055NNT/@@download/ENCFF055NNT.bed.gz']	['7f7a4fea9902b4de27656b78a71cdda0']	[{}]	['ENCFF441TRR', 'ENCFF517XNU']	['https://www.encodeproject.org/files/ENCFF441TRR/@@download/ENCFF441TRR.bam', 'https://www.encodeproject.org/files/ENCFF517XNU/@@download/ENCFF517XNU.bam']	['1dea8e19a69cf0f74b3b980aaf8f420f', '25c6500fada8c363a51647e11cbab2a0']	[{}, {}]	['ENCFF557RSA', 'ENCFF852RRY']	['https://www.encodeproject.org/files/ENCFF557RSA/@@download/ENCFF557RSA.bam', 'https://www.encodeproject.org/files/ENCFF852RRY/@@download/ENCFF852RRY.bam']	['6d329f0d2d677a6dc745f02c8bf7121c', '56a226f8721d2008de8d959a4362444f']	[{}, {}]
NNNN	ATAC-seq	ENCSR032MEH	['ENCFF258NUF', 'ENCFF335UQW', 'ENCFF039CRI', 'ENCFF023YJC']	['paired-ended', 'paired-ended', 'paired-ended', 'paired-ended']	GRCh38	['ENCFF105ZAX']	['https://www.encodeproject.org/files/ENCFF105ZAX/@@download/ENCFF105ZAX.bed.gz']	['eaa5fc0856ac34049a0ffae92bbe71b7']	[{}]	['ENCFF036KYH', 'ENCFF257WGO']	['https://www.encodeproject.org/files/ENCFF036KYH/@@download/ENCFF036KYH.bam', 'https://www.encodeproject.org/files/ENCFF257WGO/@@download/ENCFF257WGO.bam']	['a406beb1b22d3b3abbe3b08e5a3f00ac', '0615e9d4474867f0f64f74ff4d401983']	[{}, {}]	['ENCFF410WTM', 'ENCFF400ZNW']	['https://www.encodeproject.org/files/ENCFF410WTM/@@download/ENCFF410WTM.bam', 'https://www.encodeproject.org/files/ENCFF400ZNW/@@download/ENCFF400ZNW.bam']	['305d83b085455a2723752c075386e11b', 'fe557e24d6cd9e4a0ad2e2c447f8449c']	[{}, {}]
NNNN	ATAC-seq	ENCSR863TVR	['ENCFF672INO', 'ENCFF644FUO', 'ENCFF036MJH', 'ENCFF514OYM']	['paired-ended', 'paired-ended', 'paired-ended', 'paired-ended']	GRCh38	['ENCFF754SOL']	['https://www.encodeproject.org/files/ENCFF754SOL/@@download/ENCFF754SOL.bed.gz']	['6c92ea00f17178ac438387e51c5b2ed7']	[{}]	['ENCFF714BNN', 'ENCFF152KMX']	['https://www.encodeproject.org/files/ENCFF714BNN/@@download/ENCFF714BNN.bam', 'https://www.encodeproject.org/files/ENCFF152KMX/@@download/ENCFF152KMX.bam']	['919c9db5e7281ace503efbe9a865d282', '5a4a0065eddf94077851ef4f74b7d143']	[{}, {}]	['ENCFF187EQF', 'ENCFF698LXZ']	['https://www.encodeproject.org/files/ENCFF187EQF/@@download/ENCFF187EQF.bam', 'https://www.encodeproject.org/files/ENCFF698LXZ/@@download/ENCFF698LXZ.bam']	['95811480a813e81a7ab97db7edc2baea', 'afa3be3a4f1628e1d1e724901709971f']	[{}, {}]
NNNN	ATAC-seq	ENCSR841LHT	['ENCFF404TEF', 'ENCFF975BGK']	['paired-ended', 'paired-ended']	GRCh38	['ENCFF246KRE']	['https://www.encodeproject.org/files/ENCFF246KRE/@@download/ENCFF246KRE.bed.gz']	['b15ad8269e7fbd85c5cb26a2cf4fcd4d']	[{}]	['ENCFF085TSR']	['https://www.encodeproject.org/files/ENCFF085TSR/@@download/ENCFF085TSR.bam']	['95f8313e472bd0f8820c42a683c68b19']	[{}]	['ENCFF489WFA']	['https://www.encodeproject.org/files/ENCFF489WFA/@@download/ENCFF489WFA.bam']	['45149974a2661df1877eb5262bf48a2e']	[{}]
NNNN	ATAC-seq	ENCSR019XCN	['ENCFF271GYM', 'ENCFF590ONQ', 'ENCFF493LND', 'ENCFF085NCS']	['paired-ended', 'paired-ended', 'paired-ended', 'paired-ended']	GRCh38	['ENCFF929NTI']	['https://www.encodeproject.org/files/ENCFF929NTI/@@download/ENCFF929NTI.bed.gz']	['695007603d004fcb8c9858f8e4b3702c']	[{}]	['ENCFF826XMO', 'ENCFF548GWU']	['https://www.encodeproject.org/files/ENCFF826XMO/@@download/ENCFF826XMO.bam', 'https://www.encodeproject.org/files/ENCFF548GWU/@@download/ENCFF548GWU.bam']	['8638867de1402873e6a502c3182dc3b9', '2c90076cfe6117c375e771be7cdced89']	[{}, {}]	['ENCFF364RYN', 'ENCFF347LNL']	['https://www.encodeproject.org/files/ENCFF364RYN/@@download/ENCFF364RYN.bam', 'https://www.encodeproject.org/files/ENCFF347LNL/@@download/ENCFF347LNL.bam']	['05499a7b5cbde20feef434fe4a86813c', '40f3215b561347109ac3fb39aa8db7d3']	[{}, {}]
NNNN	ATAC-seq	ENCSR101ZJJ	['ENCFF725CWB', 'ENCFF450THQ', 'ENCFF870WHP', 'ENCFF191BAT', 'ENCFF473FLJ', 'ENCFF701TXG', 'ENCFF984LMH', 'ENCFF358URT', 'ENCFF372ERB', 'ENCFF561QBI', 'ENCFF423XCM', 'ENCFF903ZSF', 'ENCFF610CJN', 'ENCFF061EPM', 'ENCFF211NEW', 'ENCFF574XLW']	['paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended']	GRCh38	['ENCFF768IWR']	['https://www.encodeproject.org/files/ENCFF768IWR/@@download/ENCFF768IWR.bed.gz']	['14071adcbd79818debe0fb8404deb31e']	[{}]	['ENCFF010ICR']	['https://www.encodeproject.org/files/ENCFF010ICR/@@download/ENCFF010ICR.bam']	['e8bd259e8c7768a94bed7049f353ff9e']	[{}]	['ENCFF695TFH']	['https://www.encodeproject.org/files/ENCFF695TFH/@@download/ENCFF695TFH.bam']	['a747cebb44c802b05f0479867337e7dd']	[{}]
NNNN	ATAC-seq	ENCSR979TCG	['ENCFF522ESP', 'ENCFF572KPN', 'ENCFF046OHU', 'ENCFF190QIE', 'ENCFF083ZMY', 'ENCFF658TTY', 'ENCFF651OHF', 'ENCFF196DAG', 'ENCFF853KFG', 'ENCFF513KAU', 'ENCFF641FWM', 'ENCFF842YSX', 'ENCFF234TFN', 'ENCFF491BAR', 'ENCFF330GNL', 'ENCFF851OOA']	['paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended']	GRCh38	['ENCFF468VMN']	['https://www.encodeproject.org/files/ENCFF468VMN/@@download/ENCFF468VMN.bed.gz']	['b5af80fcb3a9bb068c4ca68ae49ef083']	[{}]	['ENCFF767REG']	['https://www.encodeproject.org/files/ENCFF767REG/@@download/ENCFF767REG.bam']	['0b3a293a0c178e0db209315350281828']	[{}]	['ENCFF503TXC']	['https://www.encodeproject.org/files/ENCFF503TXC/@@download/ENCFF503TXC.bam']	['0a3fd4935cccfc38961227d4548635b1']	[{}]
