experiment_series	assay_type	experiment	fastqs	fastqs_run_type	assembly	preferred_default_bed_narrowPeak	preferred_default_bed_narrowPeak_download_urls	preferred_default_bed_narrowPeak_md5sums	preferred_default_bed_narrowPeak_qc_metrics	unfiltered_alignments	unfiltered_alignments_download_urls	unfiltered_alignments_md5sums	unfiltered_alignments_qc_metrics	alignments	alignments_download_urls	alignments_md5sums	alignments_qc_metrics
NNNN	DNase-seq	ENCSR000ENH	['ENCFF001AYC', 'ENCFF001AYD', 'ENCFF001DAN', 'ENCFF001DAM', 'ENCFF001AYE', 'ENCFF001AYF', 'ENCFF001AYG', 'ENCFF622WIY', 'ENCFF420BJI']	['single-ended', 'single-ended', 'single-ended', 'single-ended', 'single-ended', 'single-ended', 'single-ended', 'single-ended', 'single-ended']	GRCh38	['ENCFF942AKV']	['https://www.encodeproject.org/files/ENCFF942AKV/@@download/ENCFF942AKV.bed.gz']	['79382d2f47ea97f20f716f7f485c5e1e']	[{}]	['ENCFF175BFW', 'ENCFF628HTA']	['https://www.encodeproject.org/files/ENCFF175BFW/@@download/ENCFF175BFW.bam', 'https://www.encodeproject.org/files/ENCFF628HTA/@@download/ENCFF628HTA.bam']	['bcdc8a48f8e77ec12626ddf378903e3c', '5eb588bab838c60f3a7a12d639592859']	[{}, {}]	['ENCFF920ZPO', 'ENCFF371GUM']	['https://www.encodeproject.org/files/ENCFF920ZPO/@@download/ENCFF920ZPO.bam', 'https://www.encodeproject.org/files/ENCFF371GUM/@@download/ENCFF371GUM.bam']	['08a826814be199aee163ee2f5f5deb1c', '5dbd460db844c861ac54f185cccc9f86']	[{}, {}]
NNNN	DNase-seq	ENCSR000EMT	['ENCFF001CUR', 'ENCFF001CWQ']	['single-ended', 'single-ended']	GRCh38	['ENCFF759OLD']	['https://www.encodeproject.org/files/ENCFF759OLD/@@download/ENCFF759OLD.bed.gz']	['72e37cbf02fc8958a73a3b8fe20c8cf6']	[{}]	['ENCFF940NSD', 'ENCFF467CXY']	['https://www.encodeproject.org/files/ENCFF940NSD/@@download/ENCFF940NSD.bam', 'https://www.encodeproject.org/files/ENCFF467CXY/@@download/ENCFF467CXY.bam']	['5c123caa7750b7cf7ae08e8070cc465a', '7be63f3052161dd2a13376225e3a5c1f']	[{}, {}]	['ENCFF020WZB', 'ENCFF729UYK']	['https://www.encodeproject.org/files/ENCFF020WZB/@@download/ENCFF020WZB.bam', 'https://www.encodeproject.org/files/ENCFF729UYK/@@download/ENCFF729UYK.bam']	['e204b23d380342b04cbc30c836a50154', '622bc1e169996ba8b5410e2e616c46fc']	[{}, {}]
NNNN	DNase-seq	ENCSR000EPG	['ENCFF632NWJ', 'ENCFF882WBY', 'ENCFF827EQC', 'ENCFF631PFW', 'ENCFF320TRX', 'ENCFF665RTE']	['paired-ended', 'paired-ended', 'single-ended', 'single-ended', 'single-ended', 'single-ended']	GRCh38	['ENCFF355POY']	['https://www.encodeproject.org/files/ENCFF355POY/@@download/ENCFF355POY.bed.gz']	['1b24a16f70f6df80a378c5cd2a990875']	[{}]	['ENCFF299HNT', 'ENCFF108IPV']	['https://www.encodeproject.org/files/ENCFF299HNT/@@download/ENCFF299HNT.bam', 'https://www.encodeproject.org/files/ENCFF108IPV/@@download/ENCFF108IPV.bam']	['b42668bf1f4e29e136f974f01edb1ce8', 'aae3d0a0c2293bf4d071a78e59e86988']	[{}, {}]	['ENCFF184FIC', 'ENCFF712GOU']	['https://www.encodeproject.org/files/ENCFF184FIC/@@download/ENCFF184FIC.bam', 'https://www.encodeproject.org/files/ENCFF712GOU/@@download/ENCFF712GOU.bam']	['ae42e1a7f3357f110605cbb2effdbde0', 'b519ce0714cf2923d72028d6de2a6669']	[{}, {}]
NNNN	DNase-seq	ENCSR297WRG	['ENCFF013ORT', 'ENCFF176HAM', 'ENCFF460MVF', 'ENCFF356XGW', 'ENCFF750YIH', 'ENCFF018EAP']	['paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended']	GRCh38	['ENCFF491FEU']	['https://www.encodeproject.org/files/ENCFF491FEU/@@download/ENCFF491FEU.bed.gz']	['959322e5e422b356c9188e619aa2d9bd']	[{}]	['ENCFF570GJG']	['https://www.encodeproject.org/files/ENCFF570GJG/@@download/ENCFF570GJG.bam']	['96add2f0da72138f39c51411579d4560']	[{}]	['ENCFF518BWN']	['https://www.encodeproject.org/files/ENCFF518BWN/@@download/ENCFF518BWN.bam']	['fcbd24e8dc27033fe8540775787714ea']	[{}]
NNNN	DNase-seq	ENCSR148VUP	['ENCFF845PMS', 'ENCFF276UFY', 'ENCFF008URG', 'ENCFF736CAO', 'ENCFF102LEH', 'ENCFF398LVQ', 'ENCFF494GDX', 'ENCFF912VUV', 'ENCFF021EZF', 'ENCFF187NKP', 'ENCFF506DYP', 'ENCFF276CRC']	['paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended']	GRCh38	['ENCFF618RZR']	['https://www.encodeproject.org/files/ENCFF618RZR/@@download/ENCFF618RZR.bed.gz']	['e1b66d9bee7d275dee3bfcf8b0aeaffb']	[{}]	['ENCFF350SEU', 'ENCFF521QSM']	['https://www.encodeproject.org/files/ENCFF350SEU/@@download/ENCFF350SEU.bam', 'https://www.encodeproject.org/files/ENCFF521QSM/@@download/ENCFF521QSM.bam']	['541c8c04c4e536d26d592651214e3232', 'd0e363f1beb46a973a15c2ccc8ccecbe']	[{}, {}]	['ENCFF527YEA', 'ENCFF608WXB']	['https://www.encodeproject.org/files/ENCFF527YEA/@@download/ENCFF527YEA.bam', 'https://www.encodeproject.org/files/ENCFF608WXB/@@download/ENCFF608WXB.bam']	['47995eeb02b77dfabc923f48997c229f', '477a7ab183e6b2776078b3adcce52869']	[{}, {}]
NNNN	DNase-seq	ENCSR373TLU	['ENCFF232KJW', 'ENCFF800JVU', 'ENCFF283PCF', 'ENCFF612IVI', 'ENCFF782OJZ', 'ENCFF583JHZ']	['paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended']	GRCh38	['ENCFF245WUR']	['https://www.encodeproject.org/files/ENCFF245WUR/@@download/ENCFF245WUR.bed.gz']	['01cff26d6118c51146b0b917c7452f64']	[{}]	['ENCFF144QGO']	['https://www.encodeproject.org/files/ENCFF144QGO/@@download/ENCFF144QGO.bam']	['7e83d5f34f3de57e56bf17d8a0d60b7e']	[{}]	['ENCFF328OIF']	['https://www.encodeproject.org/files/ENCFF328OIF/@@download/ENCFF328OIF.bam']	['159730e84e94fa1a38f647ddb15f98d4']	[{}]
NNNN	DNase-seq	ENCSR233DFT	['ENCFF996FQI', 'ENCFF240ZLZ', 'ENCFF619TNT', 'ENCFF910RCB', 'ENCFF107YFW', 'ENCFF161HZJ']	['paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended']	GRCh38	['ENCFF183VMB']	['https://www.encodeproject.org/files/ENCFF183VMB/@@download/ENCFF183VMB.bed.gz']	['43deadc30e3801f07d9a4cef31e1902c']	[{}]	['ENCFF084OOS']	['https://www.encodeproject.org/files/ENCFF084OOS/@@download/ENCFF084OOS.bam']	['9c814b9d856d8717ef8bcfedb046dd84']	[{}]	['ENCFF249XTT']	['https://www.encodeproject.org/files/ENCFF249XTT/@@download/ENCFF249XTT.bam']	['bd25fb000d8a2ceadc93ec17d96bc798']	[{}]
NNNN	DNase-seq	ENCSR000EOC	['ENCFF001DIQ', 'ENCFF001DIR']	['single-ended', 'single-ended']	GRCh38	['ENCFF511JFX']	['https://www.encodeproject.org/files/ENCFF511JFX/@@download/ENCFF511JFX.bed.gz']	['83ce9234443cc5fae02a1ba273e4c63e']	[{}]	['ENCFF967VTQ', 'ENCFF351XKA']	['https://www.encodeproject.org/files/ENCFF967VTQ/@@download/ENCFF967VTQ.bam', 'https://www.encodeproject.org/files/ENCFF351XKA/@@download/ENCFF351XKA.bam']	['a72722a5b9afc1a7d2e357e3c0a14c77', '7bbcc4908ea991894710a14206af0074']	[{}, {}]	['ENCFF110OTC', 'ENCFF016FWN']	['https://www.encodeproject.org/files/ENCFF110OTC/@@download/ENCFF110OTC.bam', 'https://www.encodeproject.org/files/ENCFF016FWN/@@download/ENCFF016FWN.bam']	['3e8ad0b398df59973b563c9e0974056e', '3818e23545c5960f96e6ec0e99fe7dc8']	[{}, {}]
NNNN	DNase-seq	ENCSR365FVU	['ENCFF071KUI', 'ENCFF568DON', 'ENCFF029PIV', 'ENCFF398JVT', 'ENCFF588MAH', 'ENCFF223FFQ']	['paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended']	GRCh38	['ENCFF358SPE']	['https://www.encodeproject.org/files/ENCFF358SPE/@@download/ENCFF358SPE.bed.gz']	['c90934884d2cec7876984efec39d3a76']	[{}]	['ENCFF889NSC']	['https://www.encodeproject.org/files/ENCFF889NSC/@@download/ENCFF889NSC.bam']	['808a9b1b2fd6c0af119b7ab746967dc4']	[{}]	['ENCFF423ULQ']	['https://www.encodeproject.org/files/ENCFF423ULQ/@@download/ENCFF423ULQ.bam']	['2c7c828a818ba7070dc9b2b15bc343ee']	[{}]
NNNN	DNase-seq	ENCSR943MRO	['ENCFF967WCO', 'ENCFF885ALG', 'ENCFF412AWD', 'ENCFF924BBO', 'ENCFF210OKB', 'ENCFF845HUN']	['paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended']	GRCh38	['ENCFF355JHP']	['https://www.encodeproject.org/files/ENCFF355JHP/@@download/ENCFF355JHP.bed.gz']	['22743a5390afeb7b1bb19c72e62554d9']	[{}]	['ENCFF847EAJ']	['https://www.encodeproject.org/files/ENCFF847EAJ/@@download/ENCFF847EAJ.bam']	['aee3d8a6627b98fa3eb03124b2c055e1']	[{}]	['ENCFF797VBO']	['https://www.encodeproject.org/files/ENCFF797VBO/@@download/ENCFF797VBO.bam']	['dad20a4a443776338c7dcc0fdb89ffc4']	[{}]
